timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;127.9;1;0
2;00:30;140;1;0
3;01:00;159;1;0
4;01:30;184.3;1;0
5;02:00;174.4;1;0
6;02:30;130.3;1;0
7;03:00;111.2;1;0
8;03:30;121.2;1;0
9;04:00;128.7;1;0
10;04:30;136.7;1;0
11;05:00;152.4;1;0
12;05:30;173.9;1;0
13;06:00;240.4;1;0
14;06:30;355.4;0;909625.6684
15;07:00;638.9;0;909625.6684
16;07:30;1098.2;0;909625.6684
17;08:00;1129.4;0;909625.6684
18;08:30;694.4;0;909625.6684
19;09:00;402.4;0;909625.6684
20;09:30;260.9;0;909625.6684
21;10:00;174.7;0;909625.6684
22;10:30;151.1;0;909625.6684
23;11:00;130.4;0;909625.6684
24;11:30;116.9;0;909625.6684
25;12:00;124.8;0;909625.6684
26;12:30;156.5;0;909625.6684
27;13:00;472.5;0;909625.6684
28;13:30;1089.4;0;909625.6684
29;14:00;1275.7;0;909625.6684
30;14:30;957.7;0;909625.6684
31;15:00;710.6;1;0
32;15:30;551.3;1;0
33;16:00;491.7;1;0
34;16:30;550;1;0
35;17:00;592.7;1;0
36;17:30;635.3;1;0
37;18:00;638;1;0
38;18:30;636.9;1;0
39;19:00;823.7;1;0
40;19:30;1206.8;1;0
41;20:00;1298.7;1;0
42;20:30;1112.1;1;0
43;21:00;1021.7;1;0
44;21:30;1076.6;1;0
45;22:00;1030.5;1;0
46;22:30;924.2;1;0
47;23:00;758.3;1;0
48;23:30;533;1;0
